Name,mean_return,volatility,cluster
BSX,0.001102696759779202,0.015929942470817145,0
BWA,0.0004587236965033012,0.01746411699254878,0
BXP,0.00014229692236268277,0.011714808831143451,1
C,0.0005613047984353711,0.0150318139401921,1
CA,0.0003221460233185324,0.012531557692799367,1
CAG,0.0001717861730997441,0.014610957865346216,1
CAH,0.0003920384639449254,0.014142576159324547,1
CAT,0.000472024317897154,0.014261148320400513,1
CB,0.00047200860988710463,0.009473065459715168,1
CBG,0.0005784773690535455,0.016099827755357433,0
CBOE,0.0010314455839395185,0.012306674442053972,1
CBS,0.00028628505459490434,0.014864385211223541,1
CCI,0.00040402970963801033,0.011207210745072091,1
CCL,0.0005611010420068203,0.014550497707113306,1
CDNS,0.0008952026244655074,0.014034009178532793,1
CELG,0.0006958357475526102,0.019189582991978333,0
CERN,0.0003973943043506731,0.01461591770589855,1
CF,0.00016246682826282969,0.02326850703055851,2
CFG,0.0009214402270421783,0.016640529565235214,0
CHD,0.00041056250029239806,0.009896665827242721,1
CHK,-0.0006844058487195038,0.04165753387743106,2
CHRW,0.0004310688045500692,0.012817057930620407,1
CHTR,0.0013380875096023128,0.016984275017894342,0
CI,0.0010231176565865478,0.014791787188170358,1
CINF,0.00043879283888226175,0.010111425451088417,1
CL,0.0002550252519710312,0.01003604276109911,1
CLX,0.0004130933899306613,0.009771581175189389,1
CMA,0.0009011043181583144,0.015928090944890685,0
CMCSA,0.0006538481249842219,0.012206248129088671,1
CME,0.0008915179068750439,0.012245644019149947,1
CMG,5.824890399493863e-05,0.019426014908115234,0
CMI,0.00039971729077309604,0.014570690313607927,1
CMS,0.0004474201629971616,0.010248960306673957,1
CNC,0.0014123468914980816,0.020392731416509834,0
CNP,0.000254175676490025,0.011829847804414125,1
COF,0.0005305725684993339,0.014289064129392988,1
COG,0.00010774817162031774,0.021743188087439646,0
COL,0.000722394301053493,0.01287394143893259,1
COO,0.000725911631680548,0.013806296014527148,1
COP,0.00014494633090340932,0.01881770815070705,0
COST,0.0005172845789965406,0.010746714129189289,1
COTY,0.00022365103154565772,0.021057044534414385,0
CPB,0.0002088716918916307,0.01234413481385975,1
CRM,0.0009388505490063337,0.0191275040746951,0
CSCO,0.0006006538057980832,0.013257951645243385,1
CSRA,0.00013006520843813484,0.01799702876607101,0
CSX,0.0008325204487083562,0.01645734233778442,0
CTAS,0.0010930831279935215,0.011257994012851132,1
CTL,-0.0005282884894910577,0.018512233710988646,0
CTSH,0.0006548509991303923,0.01583887306093827,0
CTXS,0.00030639042100146646,0.01770213754839841,0
CVS,0.0003739800091544185,0.012397688049992443,1
CVX,8.130230909102747e-05,0.012942587438490909,1
CXO,0.0006071740377805793,0.022964088138677136,2
D,0.0002984878860007718,0.010501504718465282,1
DAL,0.001237838155519637,0.020062493284019257,0
DE,0.0005256210414276958,0.01314658263168519,1
DFS,0.000607993855843508,0.013317292189992315,1
DG,0.0007266186756736333,0.015823614665769252,0
DGX,0.0005034743930352342,0.012050374794696546,1
DHI,0.0007356077532378825,0.01910643577327685,0
DHR,0.00043727250407235303,0.012072882755501124,1
DIS,0.0005847264840848083,0.011602729094698644,1
DISCA,-0.0005744904944497935,0.02302430422714259,2
DISCK,-0.0005407863511762311,0.02272175422542609,2
DISH,0.00029159591303249343,0.017207829952593946,0
DLR,0.0004796710348143065,0.01470781049452534,1
DLTR,0.0008690795961069642,0.015161289043049305,0
DOV,0.0003823723776229715,0.014898954930841115,1
DPS,0.0008258504414304286,0.012212171141437364,1
DRE,0.00043838977284279754,0.01226958022853749,1
DRI,0.0006527356343570493,0.014035521330524242,1
DTE,0.0003954796486079162,0.009984387066872127,1
DUK,0.00010754721742520495,0.009745687821205792,1
DVA,0.0002782612806627009,0.01396466740218132,1
DVN,-9.392241645433025e-05,0.024585333315850333,2
DWDP,0.0005466196124387522,0.013252595671308483,1
DXC,0.0016942254854002718,0.01227429079717602,1
EA,0.0017536293151309194,0.020057428222513954,0
EBAY,0.00011705507470122143,0.022843468306341624,2
ECL,0.0005221679780013195,0.010906772939567185,1
ED,0.0002678175189825425,0.009882782568921736,1
EFX,0.0007190289305912372,0.01548000701668379,0
EIX,0.00024386569102274977,0.011588495643661687,1
EL,0.0006835029400608363,0.012365818758805757,1
EMN,0.0003540239846119686,0.015209615737352775,0
EMR,0.000221295163074467,0.012395931129948539,1
EOG,0.0005421713675494189,0.01872234760651964,0
EQIX,0.0006289827441734151,0.014307991901670985,1
EQR,8.445513244827569e-05,0.011321868529885964,1
EQT,-1.448486565231127e-06,0.020326311825675084,0
ES,0.0003156504504235287,0.010508454262424303,1
ESRX,0.0003276199498507884,0.0135383303580384,1
ESS,0.000350791816900486,0.011316820796759317,1
ETFC,0.0014099731952033666,0.019106468115002963,0
ETN,0.00036678152501662945,0.014661306642127094,1
ETR,0.00015915956010014842,0.011202729161174447,1
EVHC,-0.0018866042666571604,0.02856105733870465,2
EW,0.001050376568336027,0.019026756039116337,0
EXC,0.00020654284902957407,0.013121519720244713,1
EXPD,0.00036182796524604743,0.01227979249205088,1
EXPE,0.0007775283991103638,0.021607533505431122,0
EXR,0.0006338601582921387,0.012953513194296868,1
F,-5.271551605142014e-05,0.01436015244269704,1
FAST,0.00015011768096661585,0.014895589820780758,1
FB,0.0016604216658916622,0.020097404618936134,0
FBHS,0.0006230600801980154,0.015376256993701442,0
FCX,2.696375017448168e-05,0.03412275686295218,2
FDX,0.0007698363607280486,0.013224482290902692,1
FE,-0.00012004776120840933,0.013543604466778674,1
FFIV,0.0003952849489928367,0.017788951694330063,0
FIS,0.0008245117208482907,0.012079980046490716,1
FISV,0.0009812910748625238,0.010373030480653793,1
FITB,0.000636343904197359,0.014580727180137396,1
FL,0.00047191448442969464,0.020675045701329685,0
FLIR,0.0005899593351889732,0.014927775652101717,1
FLR,9.726251080917125e-05,0.01926932082411601,0
FLS,-3.6696654538957386e-05,0.01731088402645377,0
FMC,0.00040396922764413006,0.016451353392818047,0
FOX,0.00029960004827368796,0.01457724779220353,1
FOXA,0.00031782542222649735,0.014964183408165365,1
FRT,8.536261670606598e-05,0.010896142287979449,1
FTI,-0.00017396409586113528,0.019835927767633925,0
FTV,0.0009802653724095437,0.011250569831930292,1
GD,0.0009909742853744365,0.011136241906450243,1
GE,-0.00023658500943679516,0.012054052260806872,1
GGP,0.00016799416121601057,0.014134104687567614,1
GILD,0.0007176646122181189,0.017667098678305484,0
GIS,0.0002514537081395474,0.010325630419012102,1
GLW,0.0008110836876717104,0.014559182894732937,1
GM,0.00042898846148275586,0.01519304838389699,0
GOOG,0.000744587445980615,0.014068710504926722,1
GOOGL,0.0008800658343618984,0.013879633455801241,1
GPC,0.0003462543051981584,0.011610184321276643,1
GPN,0.0012706611445716936,0.015432277504179887,0
GPS,0.00021300281215497059,0.020050601718902477,0
GRMN,0.0005394972366543178,0.01666277838204203,0
GS,0.0005153962998046594,0.013801977293951757,1
GT,0.0008827187664145202,0.01821026365200145,0
GWW,0.00025494689785777845,0.014963252455982498,1
HAL,0.0003343271425278935,0.019317869383843445,0
HAS,0.0008627142860126532,0.015129968012791515,0
HBAN,0.0007283909873843474,0.014924342528017477,1
HBI,0.0007875268566197713,0.018494166877172445,0
HCA,0.0009112241572972145,0.01663724542252751,0
HCN,4.952127541780921e-06,0.01275903593507116,1
HCP,-0.0004401895006223062,0.0146640573552488,1
HD,0.0008969898183683768,0.011215216643584642,1
HES,-0.0001044267947156681,0.021553873580386743,0
HIG,0.0007512383152588875,0.013031321195998993,1
HII,0.0014154206342403225,0.014734078288601526,1
HLT,0.0013141244998107209,0.010342037564933206,1
HOG,8.143226425306193e-05,0.01735057116007325,0
