Name,mean_return,volatility,cluster
A,0.00113882005295578,0.04855596335577427,1
AAL,0.003558978330913739,0.09452787888131053,0
AAP,0.002285583375308005,0.07235411999643464,0
AAPL,0.0019339022631084854,0.06196992639269582,1
ABBV,0.0028064478205806122,0.06561569476721625,0
ABC,0.0018192005430545286,0.05886662128682075,1
ABT,0.0009251914666147285,0.03622830581349444,1
ACN,0.000726936616739308,0.04700281007421117,1
ADBE,0.002704427179857976,0.08887885294365382,0
ADI,0.0016098242950048553,0.055700559350164276,1
ADM,0.0008132176433851897,0.04028355478180462,1
ADP,0.0011622415517401614,0.04449385816505186,1
ADS,0.0012188787399843777,0.04946647307898,1
ADSK,0.004642275252883663,0.11184538566391275,0
AEE,0.001090326843542679,0.039253895809912315,1
AEP,0.0007972511041957719,0.03687234710476167,1
AES,0.0005828736024687356,0.035982572199481797,1
AET,0.0034340473410474524,0.0974900193980781,0
AFL,0.0007321621182962749,0.038793725608328555,1
AGN,0.0037295241999934416,0.1008928325774758,0
AIG,0.0010742839608825223,0.038256607485485226,1
AIV,0.0002583191263309208,0.02863551600575665,1
AIZ,0.00156735509080817,0.04962866137360278,1
AJG,0.0008144560559845662,0.036959171504485064,1
AKAM,0.0020979245376214098,0.06250007609958133,0
ALB,0.0018017244114107477,0.06326750295102715,0
ALGN,0.008241491159499978,0.18365105855837874,2
ALK,0.0019216517268485973,0.06449239582486066,0
ALL,0.0002931851606389049,0.027873716885284838,1
ALLE,0.0012278986369967438,0.04878452222639484,1
ALXN,0.0025339872270432394,0.06769154036542276,0
AMAT,0.0023215042085121345,0.07482179381254624,0
AMD,0.01530350979819592,0.2586488662638147,2
AME,0.001213345143424228,0.04842077044794756,1
AMG,0.0012048557623476003,0.05084593123913753,1
AMGN,0.0015398580393606405,0.05948857941833736,1
AMP,0.0016011126195144046,0.051357895342587404,1
AMT,0.0007442697186058979,0.03169177699920251,1
AMZN,0.004435505324095338,0.1398575930705766,2
ANDV,0.002442541500775687,0.06496227468567735,0
ANSS,0.0013878795572753253,0.05100719415355118,1
ANTM,0.0015920446925219752,0.06306304110046106,0
AON,0.0017191326375749882,0.058422942703616046,1
AOS,0.0024242822393810335,0.0874741091370132,0
APA,0.0018409312298356122,0.07064096943998148,0
APC,0.00215218535728786,0.0693148968686861,0
APD,0.0011258741827245525,0.03774787653589613,1
