K,inertia,silhouette_mean,calinski_harabasz,davies_bouldin
2,0.17757357404959112,0.6510648030701007,619.8657566041344,0.591320776946346
3,0.084138328903226,0.6269963032546445,931.5459575070429,0.5170019316463449
4,0.04828300625345765,0.590577658390489,1204.0722998688973,0.5006596699420325
5,0.033767427501314035,0.5467776072780486,1342.405779812114,0.507958323007063
6,0.02063736667966863,0.5524122694190831,1817.1661717340442,0.4446852924544755
7,0.014337371741225374,0.5462038335649658,2211.8100066703705,0.4564565677602111
8,0.011097002285797686,0.5335326571120046,2465.5074077724516,0.46292522126117075
